Date,source,impSpecial,impPremium,impWellMilled,impRegular,locSpecial,locPremium,locWellMilled,locRegular
2026-05-31,DA Daily Price Index (PDF),61.0,52.22,48.0,43.0,59.07,54.36,49.33,43.67
2026-06-01,"DA Daily Price Index (DPI workbook, PDF-validated)",59.86,50.97,48.02,42.5,60.14,54.53,49.39,45.02
2026-06-02,"DA Daily Price Index (DPI workbook, PDF-validated)",59.86,51.01,48.02,42.5,60.19,54.81,49.84,44.86
2026-06-03,"DA Daily Price Index (DPI workbook, PDF-validated)",59.0,51.08,48.02,42.5,60.52,54.98,49.73,44.57
2026-06-04,"DA Daily Price Index (DPI workbook, PDF-validated)",59.86,50.97,48.0,42.5,60.16,54.81,49.65,44.86
2026-06-05,"DA Daily Price Index (DPI workbook, PDF-validated)",59.86,50.83,48.0,42.5,59.99,54.78,49.73,44.95
2026-06-06,"DA Daily Price Index (DPI workbook, PDF-validated)",59.86,50.8,48.0,42.5,59.96,54.77,49.65,45.0
2026-06-07,"DA Daily Price Index (DPI workbook, PDF-validated)",60.4,52.53,48.0,43.0,58.67,54.36,49.29,43.78
2026-06-08,"DA Daily Price Index (DPI workbook, PDF-validated)",59.86,50.91,47.94,42.5,59.96,54.76,49.55,44.71
2026-06-09,"DA Daily Price Index (DPI workbook, PDF-validated)",59.53,50.74,47.94,42.5,59.79,54.82,49.66,44.77
2026-06-10,"DA Daily Price Index (DPI workbook, PDF-validated)",59.53,50.79,47.94,42.5,59.95,54.73,49.52,44.71
2026-06-11,"DA Daily Price Index (DPI workbook, PDF-validated)",59.53,50.77,47.94,42.5,59.95,54.73,49.53,44.7
2026-06-12,"DA Daily Price Index (DPI workbook, PDF-validated)",59.56,50.74,47.94,42.5,59.91,54.73,49.55,44.7
2026-06-13,"DA Daily Price Index (DPI workbook, PDF-validated)",59.56,50.78,47.94,42.5,60.0,54.78,49.49,44.45
2026-06-14,"DA Daily Price Index (DPI workbook, PDF-validated)",59.67,50.89,47.69,42.68,58.82,53.79,48.3,41.0
2026-06-15,"DA Daily Price Index (DPI workbook, PDF-validated)",59.56,50.76,47.94,43.18,59.88,54.73,49.55,44.7
2026-06-16,"DA Daily Price Index (DPI workbook, PDF-validated)",59.56,50.75,47.94,43.91,60.04,54.54,49.26,44.71
2026-06-17,"DA Daily Price Index (DPI workbook, PDF-validated)",59.56,50.65,47.92,44.8,60.05,54.57,49.32,44.57
2026-06-18,"DA Daily Price Index (DPI workbook, PDF-validated)",59.56,50.63,47.92,45.78,60.05,54.55,49.32,45.05
2026-06-19,"DA Daily Price Index (DPI workbook, PDF-validated)",60.15,50.55,47.91,46.77,60.07,54.49,49.25,44.76
2026-06-20,"DA Daily Price Index (DPI workbook, PDF-validated)",59.56,50.66,47.91,47.68,59.84,54.31,49.18,44.83
2026-06-21,"DA Daily Price Index (DPI workbook, PDF-validated)",60.0,50.88,47.86,48.45,59.2,54.67,49.55,43.4
2026-06-22,"DA Daily Price Index (DPI workbook, PDF-validated)",58.53,50.64,48.08,49.0,59.77,54.38,49.64,46.1
2026-06-23,"DA Daily Price Index (DPI workbook, PDF-validated)",59.06,50.64,48.02,49.33,59.78,54.41,49.51,45.54
2026-06-24,"DA Daily Price Index (DPI workbook, PDF-validated)",60.14,50.45,47.96,49.32,59.88,54.11,49.15,44.69
2026-06-25,"DA Daily Price Index (DPI workbook, PDF-validated)",60.14,50.6,47.96,49.31,59.71,54.37,49.27,44.64
2026-06-26,"DA Daily Price Index (DPI workbook, PDF-validated)",60.14,50.6,47.95,49.29,59.74,54.14,49.15,44.4
2026-06-27,"DA Daily Price Index (DPI workbook, PDF-validated)",59.59,50.71,47.95,49.27,59.79,54.21,49.16,44.48
2026-06-28,"DA Daily Price Index (DPI workbook, PDF-validated)",59.59,50.71,47.95,49.26,59.63,53.96,49.13,44.6
2026-06-29,"DA Daily Price Index (DPI workbook, PDF-validated)",59.59,50.71,48.05,49.25,59.82,54.3,49.42,44.73
2026-06-30,"DA Daily Price Index (DPI workbook, PDF-validated)",59.59,50.71,48.05,49.25,59.82,54.36,49.42,49.42
2026-07-01,"DA Daily Price Index (DPI workbook, PDF-validated)",59.59,50.66,47.94,49.24,59.78,54.13,49.17,44.4
2026-07-02,"DA Daily Price Index (DPI workbook, PDF-validated)",59.39,50.73,47.94,49.23,59.78,54.14,49.19,44.38
2026-07-03,"DA Daily Price Index (DPI workbook, PDF-validated)",58.69,50.77,47.95,49.21,59.93,54.25,49.28,44.35
2026-07-04,"DA Daily Price Index (DPI workbook, PDF-validated)",59.59,50.84,47.95,49.17,59.36,53.8,48.75,44.25
2026-07-05,"DA Daily Price Index (DPI workbook, PDF-validated)",59.56,50.81,47.94,49.13,59.26,53.63,48.77,44.53
2026-07-06,"DA Daily Price Index (DPI workbook, PDF-validated)",59.39,50.76,47.95,49.08,59.87,54.1,49.19,44.46
2026-07-07,"DA Daily Price Index (DPI workbook, PDF-validated)",59.39,50.73,47.95,49.02,59.86,54.1,49.19,44.46
2026-07-08,"DA Daily Price Index (DPI workbook, PDF-validated)",59.42,50.91,47.95,48.96,59.96,54.12,49.17,44.42
2026-07-09,"DA Daily Price Index (DPI workbook, PDF-validated)",59.42,50.91,47.95,48.89,59.96,54.12,49.17,44.42
2026-07-10,"DA Daily Price Index (DPI workbook, PDF-validated)",59.42,50.95,47.95,48.81,59.96,54.12,49.15,44.58
2026-07-11,"DA Daily Price Index (DPI workbook, PDF-validated)",58.69,51.2,47.94,48.72,59.82,54.0,48.63,44.36
2026-07-12,"DA Daily Price Index (DPI workbook, PDF-validated)",59.39,51.12,48.01,48.63,59.45,53.52,48.17,44.5
2026-07-13,"DA Daily Price Index (DPI workbook, PDF-validated)",59.42,51.02,47.95,48.54,59.89,54.08,49.03,44.59
2026-07-14,"DA Daily Price Index (DPI workbook, PDF-validated)",59.42,51.2,47.95,48.44,59.88,54.08,49.03,44.58
2026-07-15,"DA Daily Price Index (DPI workbook, PDF-validated)",59.42,51.27,51.27,48.33,59.86,54.05,49.03,44.56
2026-07-16,"DA Daily Price Index (DPI workbook, PDF-validated)",59.42,51.35,47.95,48.22,59.84,53.99,48.76,44.49
2026-07-17,"DA Daily Price Index (DPI workbook, PDF-validated)",59.15,51.16,47.95,48.11,59.9,54.01,48.96,44.55
2026-07-18,"DA Daily Price Index (DPI workbook, PDF-validated)",59.15,51.48,47.91,47.99,59.51,53.71,48.4,44.56
2026-07-19,"DA Daily Price Index (DPI workbook, PDF-validated)",59.15,51.48,47.91,47.88,59.52,53.66,48.15,44.53
2026-07-20,"DA Daily Price Index (DPI workbook, PDF-validated)",59.15,51.37,47.95,47.75,59.87,54.1,48.62,44.4
2026-07-21,"DA Daily Price Index (DPI workbook, PDF-validated)",59.15,51.41,47.95,47.63,59.87,54.13,48.62,44.4
2026-07-22,"DA Daily Price Index (DPI workbook, PDF-validated)",59.53,51.43,47.93,47.51,59.83,54.14,48.7,44.4
2026-07-23,"DA Daily Price Index (DPI workbook, PDF-validated)",59.53,59.53,47.93,47.38,59.84,54.14,48.68,44.4
2026-07-24,"DA Daily Price Index (DPI workbook, PDF-validated)",59.53,51.43,47.93,47.25,59.84,54.13,48.68,44.4
2026-07-25,"DA Daily Price Index (DPI workbook, PDF-validated)",59.53,51.62,47.92,47.12,59.48,53.71,48.11,44.46
2026-07-26,"DA Daily Price Index (DPI workbook, PDF-validated)",59.5,51.47,47.92,47.0,59.4,53.66,48.14,44.58
2026-07-27,"DA Daily Price Index (DPI workbook, PDF-validated)",59.53,51.55,47.9,46.87,60.13,54.31,48.57,44.07
2026-07-28,"DA Daily Price Index (DPI workbook, PDF-validated)",59.53,51.55,47.9,46.74,60.13,54.31,48.54,44.07
2026-07-29,"DA Daily Price Index (DPI workbook, PDF-validated)",59.5,51.36,47.9,46.62,59.73,54.17,48.65,44.43
2026-07-30,"DA Daily Price Index (DPI workbook, PDF-validated)",59.29,51.35,47.93,46.5,59.94,54.22,48.47,44.26
2026-07-31,"DA Daily Price Index (DPI workbook, PDF-validated)",60.0,51.36,47.87,46.37,59.75,54.09,48.47,44.25
2026-08-01,"DA Daily Price Index (DPI workbook, PDF-validated)",59.63,51.6,47.84,46.26,59.44,53.73,48.1,44.57
2026-08-02,"DA Daily Price Index (DPI workbook, PDF-validated)",59.61,51.64,47.85,46.14,59.42,53.69,48.06,44.65
2026-08-03,"DA Daily Price Index (DPI workbook, PDF-validated)",60.13,51.45,47.88,46.03,59.65,54.02,48.47,44.14
2026-08-04,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,51.57,47.84,45.92,59.89,54.12,48.54,44.4
2026-08-05,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,51.71,47.8,45.81,59.95,54.13,48.5,44.58
2026-08-06,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,51.66,47.83,45.71,59.88,54.15,48.54,44.52
2026-08-07,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,51.64,47.83,45.62,59.88,54.15,48.54,44.61
2026-08-08,"DA Daily Price Index (DPI workbook, PDF-validated)",59.72,51.84,47.78,45.53,59.53,53.73,48.03,44.78
2026-08-09,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,51.81,47.78,45.44,59.11,53.58,48.18,45.12
2026-08-10,"DA Daily Price Index (DPI workbook, PDF-validated)",60.25,51.49,47.8,45.36,59.69,53.99,48.07,44.31
2026-08-11,"DA Daily Price Index (DPI workbook, PDF-validated)",60.25,51.64,47.81,45.29,59.73,54.04,48.38,44.36
2026-08-12,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,51.88,47.81,45.23,59.84,54.12,48.31,44.53
2026-08-13,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,51.78,47.82,45.17,59.9,54.18,48.5,44.61
2026-08-14,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,51.78,47.78,45.12,59.95,54.18,48.5,44.61
2026-08-15,"DA Daily Price Index (DPI workbook, PDF-validated)",59.0,52.27,47.73,45.08,60.27,54.43,48.35,44.68
2026-08-16,"DA Daily Price Index (DPI workbook, PDF-validated)",59.6,51.99,47.76,45.04,59.55,53.69,48.04,44.78
2026-08-17,"DA Daily Price Index (DPI workbook, PDF-validated)",59.6,51.95,47.78,45.02,59.9,54.16,48.53,44.61
