Date,impSpecial,impPremium,impWellMilled,impRegular,locSpecial,locPremium,locWellMilled,locRegular
2021-04-13,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-22,52.0,46.0,44.0,,50.0,45.0,42.0,38.0
2021-04-28,52.0,47.0,44.0,,50.0,45.0,44.0,38.0
2021-05-03,52.0,47.0,44.0,,50.0,45.0,40.0,38.0
2021-05-12,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-05-20,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-05-28,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-06-01,50.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-06-08,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-06-16,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-06-25,52.0,47.0,44.0,,50.0,45.0,40.0,38.0
2021-07-01,50.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-07-12,52.0,47.0,44.0,,50.0,45.0,40.0,38.0
2021-07-19,52.0,48.0,44.0,,50.0,45.0,40.0,38.0
2021-07-26,52.0,48.0,44.0,,50.0,46.0,40.0,38.0
2021-07-30,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-08-05,52.0,48.0,44.0,,50.0,46.0,40.0,38.0
2021-08-11,52.0,48.0,44.0,,50.0,46.0,40.0,38.0
2021-08-19,50.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-08-26,50.0,48.0,43.0,,50.0,45.0,40.0,38.0
2021-08-31,52.0,48.0,43.0,,50.0,47.0,40.0,38.0
2021-09-03,,,,,,,,
2021-09-06,,,,,,,,
2021-09-13,,,,,,,,
2021-09-14,,,,,,,,
2021-09-23,,,,,,,,
2021-09-24,,,,,,,,
2021-09-29,,,,,,,,
2021-09-30,,,,,,,,
2021-10-13,,,,,,,,
2021-10-14,,,,,,,,
2021-10-21,,,,,,,,
2021-10-22,,,,,,,,
